Kunden-ID@Kundenname@Produkt@Preis@Datum
1@Hans Müller@Apfel@1,99 €@2023-01-05
2@Anna Schmidt@Banane@0,99 €@2023-01-07
3@Michael Fischer@Orange@2,49 €@2023-01-10
4@Maria Wagner@Erdbeere@3,50 €@2023-01-12
5@Sebastian Huber@Kiwi@2,20 €@2023-01-15
6@Laura Braun@Traube@1,75 €@2023-01-18
7@Felix Keller@Ananas@4,99 €@2023-01-21
8@Sophie Lehmann@Kirsche@2,89 €@2023-01-24
9@Max Richter@Pfirsich@3,25 €@2023-01-27
10@Julia Schmitt@Mango@5,50 €@2023-01-30
11@Andreas Beck@Birne@2,10 €@2023-02-02
12@Nina Wolf@Melone@6,75 €@2023-02-05
13@Simon Schwarz@Himbeere@4,20 €@2023-02-08
14@Lena Hartmann@Granatapfel@3,99 €@2023-02-11
15@Markus Braun@Zitrone@1,49 €@2023-02-14
16@Sabrina Vogel@Aprikose@2,75 €@2023-02-17
17@Daniel Keller@Heidelbeere@3,95 €@2023-02-20
18@Caroline Müller@Pflaume@2,30 €@2023-02-23
19@Tobias Schuster@Guave@4,50 €@2023-02-26
20@Isabel Weber@Passionsfrucht@3,80 €@2023-03-01
